CD_MUN,NM_MUN,SIGLA_UF,ng_oficial,ng_medio,ng_max,_merge
1506187,Rondon do Pará,PA,14,5.981889317555556,8.14355042,both
1506195,Rurópolis,PA,18,7.348498596756757,9.85197293,both
1506203,Salinópolis,PA,6,2.939423975,3.04813665,both
1506302,Salvaterra,PA,12,3.2406838849999997,5.03622674,both
1506351,Santa Bárbara do Pará,PA,20,9.94237906,9.94237906,both
1506401,Santa Cruz do Arari,PA,14,5.156092318000001,6.49370884,both
1506500,Santa Izabel do Pará,PA,22,10.61728012,11.05260022,both
1506559,Santa Luzia do Pará,PA,14,5.575766695714286,6.46695313,both
1506583,Santa Maria das Barreiras,PA,24,11.214430016909091,13.08913222,both
1506609,Santa Maria do Pará,PA,14,7.448934636666666,7.60505655,both
1506708,Santana do Araguaia,PA,24,11.678623812131148,14.18527142,both
1506807,Santarém,PA,16,5.837514072580644,9.35234524,both
1506906,Santarém Novo,PA,8,3.63211523,3.99641535,both
1507003,Santo Antônio do Tauá,PA,18,8.83483348,9.44810252,both
1507102,São Caetano de Odivelas,PA,14,4.445348,5.72990373,both
1507151,São Domingos do Araguaia,PA,12,5.549855901428572,5.78200695,both
1507201,São Domingos do Capim,PA,18,8.657569861999999,9.70157767,both
1507300,São Félix do Xingu,PA,30,9.855581347918552,18.00683175,both
1507409,São Francisco do Pará,PA,16,7.18212857,7.9832978,both
1507458,São Geraldo do Araguaia,PA,16,6.707174677647059,7.8534622,both
1507466,São João da Ponta,PA,12,4.15694961,4.15694961,both
1507474,São João de Pirabas,PA,6,2.25335124,2.41078747,both
1507508,São João do Araguaia,PA,12,5.94390247,6.26727104,both
1507607,São Miguel do Guamá,PA,18,7.869402966,9.01015379,both
1507706,São Sebastião da Boa Vista,PA,24,11.88987792,14.27483264,both
1507755,Sapucaia,PA,12,6.053394342,6.72268139,both
1507805,Senador José Porfírio,PA,12,4.46094245962963,7.11922918,both
1507904,Soure,PA,8,1.47795869,2.39360749,both
1507953,Tailândia,PA,20,9.4934933525,10.92614428,both
1507961,Terra Alta,PA,12,5.15085383,5.15085383,both
1507979,Terra Santa,PA,16,7.268654348888889,8.45194519,both
1508001,Tomé-Açu,PA,22,9.490569669642856,12.11860404,both
1508035,Tracuateua,PA,12,2.796867675,5.35842181,both
1508050,Trairão,PA,18,8.496587364915255,10.76842641,both
1508084,Tucumã,PA,24,11.9633974475,14.2154068,both
1508100,Tucuruí,PA,14,6.8625023836363646,8.08271639,both
1508126,Ulianópolis,PA,10,3.9594736908333332,5.24238652,both
1508159,Uruará,PA,12,3.977195909655172,6.12616988,both
1508209,Vigia,PA,16,6.180526213333333,7.66701714,both
1508308,Viseu,PA,16,3.794434720967742,9.03212164,both
1508357,Vitória do Xingu,PA,12,4.196059886,5.83805312,both
1508407,Xinguara,PA,18,6.897054373636364,9.07605733,both
1600055,Serra do Navio,AP,10,2.249139456590909,4.54730134,both
1600105,Amapá,AP,4,0.9115431913043478,1.82188021,both
1600154,Pedra Branca do Amapari,AP,10,3.332161016734694,5.2263331,both
1600204,Calçoene,AP,6,0.9684879338157895,2.58174238,both
1600212,Cutias,AP,4,1.0195929572727271,1.35661249,both
1600238,Ferreira Gomes,AP,8,2.8903410879310343,3.83503617,both
1600253,Itaubal,AP,4,1.8218450050000001,2.08915567,both
1600279,Laranjal do Jari,AP,12,2.434377350308642,6.138562,both
1600303,Macapá,AP,6,1.7572115484615385,3.22387942,both
1600402,Mazagão,AP,12,4.391505961014493,6.41569482,both
1600501,Oiapoque,AP,6,1.1287392403225807,2.84845456,both
1600535,Porto Grande,AP,12,4.115075001818182,5.48121644,both
1600550,Pracuúba,AP,6,2.1669819295833332,2.98026164,both
1600600,Santana,AP,8,3.0384553100000002,3.43736182,both
1600709,Tartarugalzinho,AP,8,2.0778275230555554,3.42187168,both
1600808,Vitória do Jari,AP,12,5.190471058666666,6.50976227,both
1700251,Abreulândia,TO,28,14.0594843725,16.39923602,both
1700301,Aguiarnópolis,TO,12,5.68962934,5.68962934,both
1700350,Aliança do Tocantins,TO,22,10.2852746125,11.3424068,both
1700400,Almas,TO,26,12.618780915,14.61110967,both
1700707,Alvorada,TO,20,9.236591594,9.85788735,both
1701002,Ananás,TO,14,5.829572658888889,6.84744749,both
